angle	  | quarter	  | number	  | comparison																																																																																																																																										
12		  | 1		  | 0		  | 1T 1F 																																																																																																																																											
13		  | 1		  | 0		  | 1F 																																																																																																																																												
14		  | 1		  | 0		  | 1F 																																																																																																																																												
15		  | 1		  | 0		  | 1F 																																																																																																																																												
16		  | 1		  | 0		  | 1T 																																																																																																																																												
17		  | 1		  | 0		  | 1F 1T 																																																																																																																																											
18		  | 1		  | 0		  | 1T 																																																																																																																																												
19		  | 1		  | 0		  | 1F 																																																																																																																																												
20		  | 1		  | 0		  | 1F 																																																																																																																																												
21		  | 1		  | 0		  | 1F 																																																																																																																																												
22		  | 1		  | 0		  | 1T 																																																																																																																																												
23		  | 1		  | 0		  | 1F 																																																																																																																																												
24		  | 1		  | 0		  | 1F 																																																																																																																																												
25		  | 1		  | 0		  | 2F 																																																																																																																																												
26		  | 1		  | 0		  | 1F 																																																																																																																																												
27		  | 1		  | 0		  | 1F 																																																																																																																																												
28		  | 1		  | 0		  | 1T 																																																																																																																																												
29		  | 1		  | 0		  | 2F 																																																																																																																																												
30		  | 1		  | 0		  | 1F 																																																																																																																																												
31		  | 1		  | 0		  | 1T 																																																																																																																																												
32		  | 1		  | 0		  | 1F 																																																																																																																																												
33		  | 1		  | 0		  | 1F 																																																																																																																																												
34		  | 1		  | 0		  | 1T 																																																																																																																																												
35		  | 1		  | 0		  | 1F 																																																																																																																																												
36		  | 1		  | 0		  | 1F 																																																																																																																																												
37		  | 1		  | 0		  | 1T 																																																																																																																																												
38		  | 1		  | 0		  | 1F 																																																																																																																																												
39		  | 1		  | 0		  | 1F 																																																																																																																																												
40		  | 1		  | 0		  | 1T 																																																																																																																																												
41		  | 1		  | 0		  | 1F 																																																																																																																																												
42		  | 1		  | 0		  | 1F 																																																																																																																																												
43		  | 1		  | 0		  | 2F 																																																																																																																																												
44		  | 1		  | 0		  | 1F 																																																																																																																																												
45		  | 1		  | 0		  | 1F 																																																																																																																																												
46		  | 1		  | 0		  | 1F 																																																																																																																																												
47		  | 1		  | 0		  | 1F 																																																																																																																																												
48		  | 1		  | 0		  | 1T 																																																																																																																																												
49		  | 1		  | 0		  | 1F 																																																																																																																																												
50		  | 1		  | 0		  | 1F 																																																																																																																																												
51		  | 1		  | 0		  | 1T 																																																																																																																																												
52		  | 1		  | 0		  | 1F 																																																																																																																																												
53		  | 1		  | 0		  | 1F 																																																																																																																																												
54		  | 1		  | 0		  | 2F 																																																																																																																																												
55		  | 1		  | 0		  | 1F 																																																																																																																																												
56		  | 1		  | 0		  | 1F 																																																																																																																																												
57		  | 1		  | 0		  | 1F 																																																																																																																																												
58		  | 1		  | 0		  | 1F 																																																																																																																																												
59		  | 1		  | 0		  | 1F 																																																																																																																																												
60		  | 1		  | 0		  | 1F 																																																																																																																																												
61		  | 1		  | 0		  | 1F 																																																																																																																																												
62		  | 1		  | 0		  | 1T 																																																																																																																																												
63		  | 1		  | 0		  | 1F 																																																																																																																																												
64		  | 1		  | 0		  | 1F 																																																																																																																																												
65		  | 1		  | 0		  | 1F 																																																																																																																																												
66		  | 1		  | 0		  | 1F 																																																																																																																																												
67		  | 1		  | 0		  | 1T 																																																																																																																																												
68		  | 1		  | 0		  | 1F 																																																																																																																																												
69		  | 1		  | 0		  | 1T 																																																																																																																																												
70		  | 1		  | 0		  | 1F 																																																																																																																																												
71		  | 1		  | 0		  | 1T 																																																																																																																																												
72		  | 1		  | 0		  | 1T 																																																																																																																																												
73		  | 1		  | 0		  | 1F 																																																																																																																																												
74		  | 1		  | 0		  | 1F 																																																																																																																																												
75		  | 1		  | 0		  | 1F 																																																																																																																																												
76		  | 1		  | 0		  | 1F 																																																																																																																																												
77		  | 1		  | 0		  | 1F 																																																																																																																																												
78		  | 1		  | 0		  | 2F 																																																																																																																																												
79		  | 1		  | 0		  | 1F 																																																																																																																																												
80		  | 1		  | 0		  | 1F 																																																																																																																																												
81		  | 1		  | 0		  | 1T 1F 																																																																																																																																											
82		  | 1		  | 0		  | 1F 																																																																																																																																												
83		  | 1		  | 0		  | 1F 																																																																																																																																												
84		  | 1		  | 0		  | 1F 																																																																																																																																												
85		  | 1		  | 0		  | 1T 																																																																																																																																												
86		  | 1		  | 0		  | 1T 																																																																																																																																												
87		  | 1		  | 0		  | 1F 																																																																																																																																												
88		  | 1		  | 0		  | 1T 																																																																																																																																												
89		  | 1		  | 0		  | 1F 																																																																																																																																												
90		  | 2		  | 1		  | 1F 																																																																																																																																												
91		  | 2		  | 1		  | 1F 																																																																																																																																												
92		  | 2		  | 1		  | 2F 																																																																																																																																												
93		  | 2		  | 1		  | 1F 																																																																																																																																												
94		  | 2		  | 1		  | 1F 																																																																																																																																												
95		  | 2		  | 1		  | 1F 																																																																																																																																												
96		  | 2		  | 1		  | 2F 																																																																																																																																												
97		  | 2		  | 1		  | 1F 																																																																																																																																												
